"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Alnus","Austria","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Thailand","Indo-China","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Finland","Northern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Albania","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Chile Central","Southern South America","Southern America","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Khabarovsk","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Brunswick","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Kazakhstan","Middle Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","North Caucasus","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New York","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Great Britain","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Idaho","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Yugoslavia","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Italy","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Turkey-In-Europe","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Virginia","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Georgia","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Czechoslovakia","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","China Southeast","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Newfoundland","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Maine","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Alabama","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Cyprus","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Nunavut","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Taiwan","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Amur","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Manchuria","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Missouri","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Azores","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","North European Russi","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Venezuela","Northern South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ecuador","Western South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Kuril Is.","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Honduras","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Kentucky","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","El Salvador","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Palestine","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Krasnoyarsk","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Assam","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Romania","Southeastern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Sardegna","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mongolia","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mississippi","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","West Himalaya","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Føroyar","Northern Europe","Europe","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Panamá","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ohio","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Wisconsin","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico Central","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico Northwest","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Magadan","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Zealand North","New Zealand","Australasia","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Norway","Northern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Korea","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Belarus","Eastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northwest European R","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Bulgaria","Southeastern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Argentina Northwest","Southern South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Sakhalin","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Greece","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Costa Rica","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Manitoba","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico Gulf","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","California","Southwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Maryland","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Hungary","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","South European Russi","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Altay","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Turkey","Western Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Yukon","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Sweden","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Alaska","Subarctic America","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","France","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","South Carolina","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Louisiana","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Jersey","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico Northeast","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Inner Mongolia","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Florida","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northwest Territorie","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Indiana","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Chita","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Algeria","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Sicilia","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Morocco","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Libya","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","District Of Columbia","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Delaware","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Mexico","South-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Yakutskiya","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Texas","South-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ireland","Northern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Greenland","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Portugal","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Iran","Western Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","East European Russia","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Guatemala","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Transcaucasus","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
